id,id_deputado,ano,descricao,categoria,valor
1,1,2011,"Combustíveis e lubrificantes.","",21828.28
2,1,2011,"Divulgação da atividade parlamentar.","",92000
3,1,2011,"Emissão Bilhete Aéreo *","",834.89
4,1,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",103
5,1,2011,"Locação de veículos automotores ou fretamento de embarcações","",10000
6,1,2011,"Serviços Postais","",3897.16
7,1,2011,Telefonia,"",10230.5
8,2,2011,"Combustíveis e lubrificantes.","",14518.57
9,2,2011,"Consultorias, pesquisas e trabalhos técnicos.","",47640
10,2,2011,"Divulgação da atividade parlamentar.","",30190
11,2,2011,"Emissão Bilhete Aéreo *","",2208.98
12,2,2011,"Fornecimento de alimentação do parlamentar","",2197.86
13,2,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",3297.44
14,2,2011,"Manutenção de escritório de apoio à atividade parlamentar","",17171.48
15,2,2011,"Serviço de segurança prestado por empresa especializada.","",240
16,2,2011,"Serviços Postais","",1802.84
17,2,2011,Telefonia,"",23775.67
18,3,2011,"Assinatura de publicações","",81.4
19,3,2011,"Combustíveis e lubrificantes.","",5914.48
20,3,2011,"Consultorias, pesquisas e trabalhos técnicos.","",15500
21,3,2011,"Divulgação da atividade parlamentar.","",2000
22,3,2011,"Emissão Bilhete Aéreo *","",1460.6
23,3,2011,"Fornecimento de alimentação do parlamentar","",6037.99
24,3,2011,"Locação de veículos automotores ou fretamento de embarcações","",179.7
25,3,2011,"Manutenção de escritório de apoio à atividade parlamentar","",12610.34
26,3,2011,"Passagens Aéreas e fretamento de aeronaves","",4834.17
27,3,2011,"Serviços Postais","",649.04
28,3,2011,Telefonia,"",10493.74
29,4,2011,"Assinatura de publicações","",158.53
30,4,2011,"Combustíveis e lubrificantes.","",22131.93
31,4,2011,"Consultorias, pesquisas e trabalhos técnicos.","",18000
32,4,2011,"Divulgação da atividade parlamentar.","",40000
33,4,2011,"Emissão Bilhete Aéreo *","",2182.12
34,4,2011,"Fornecimento de alimentação do parlamentar","",2930.61
35,4,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",1286.44
36,4,2011,"Locação de veículos automotores ou fretamento de embarcações","",12748.47
37,4,2011,"Serviço de segurança prestado por empresa especializada.","",340
38,4,2011,"Serviços Postais","",2110.53
39,4,2011,Telefonia,"",20418.66
40,5,2011,"Combustíveis e lubrificantes.","",8423.83
41,5,2011,"Divulgação da atividade parlamentar.","",14790
42,5,2011,"Emissão Bilhete Aéreo *","",11303.26
43,5,2011,"Fornecimento de alimentação do parlamentar","",1205.97
44,5,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",7697.7
45,5,2011,"Locação de veículos automotores ou fretamento de embarcações","",8909.1
46,5,2011,"Manutenção de escritório de apoio à atividade parlamentar","",1709.65
47,5,2011,"Passagens Aéreas e fretamento de aeronaves","",5500
48,5,2011,"Serviço de segurança prestado por empresa especializada.","",18000
49,5,2011,"Serviços Postais","",309.41
50,5,2011,Telefonia,"",4469.36
51,6,2011,"Combustíveis e lubrificantes.","",22907.94
52,6,2011,"Divulgação da atividade parlamentar.","",400
53,6,2011,"Emissão Bilhete Aéreo *","",7534.91
54,6,2011,"Fornecimento de alimentação do parlamentar","",3929.31
55,6,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",4722.02
56,6,2011,"Locação de veículos automotores ou fretamento de embarcações","",34656.51
57,6,2011,"Manutenção de escritório de apoio à atividade parlamentar","",11897.02
58,6,2011,"Passagens Aéreas e fretamento de aeronaves","",17290.76
59,6,2011,"Serviços Postais","",4225.07
60,6,2011,Telefonia,"",26676.84
61,7,2011,"Assinatura de publicações","",170.2
62,7,2011,"Combustíveis e lubrificantes.","",19898.58
63,7,2011,"Consultorias, pesquisas e trabalhos técnicos.","",17800
64,7,2011,"Divulgação da atividade parlamentar.","",18425
65,7,2011,"Emissão Bilhete Aéreo *","",6044.94
66,7,2011,"Fornecimento de alimentação do parlamentar","",1912.93
67,7,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",1941.75
68,7,2011,"Locação de veículos automotores ou fretamento de embarcações","",19710.55
69,7,2011,"Manutenção de escritório de apoio à atividade parlamentar","",9479.12
70,7,2011,"Serviços Postais","",8504.21
71,7,2011,Telefonia,"",14875.33
72,8,2011,"Assinatura de publicações","",155
73,8,2011,"Combustíveis e lubrificantes.","",9951.96
74,8,2011,"Consultorias, pesquisas e trabalhos técnicos.","",5000
75,8,2011,"Divulgação da atividade parlamentar.","",40100
76,8,2011,"Fornecimento de alimentação do parlamentar","",7242
77,8,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",1434
78,8,2011,"Locação de veículos automotores ou fretamento de embarcações","",16000
79,8,2011,"Manutenção de escritório de apoio à atividade parlamentar","",3177.76
80,8,2011,"Passagens Aéreas e fretamento de aeronaves","",1181.92
81,8,2011,"Serviços Postais","",10712.87
82,8,2011,Telefonia,"",9004.35
83,9,2011,"Combustíveis e lubrificantes.","",11484.87
84,9,2011,"Consultorias, pesquisas e trabalhos técnicos.","",459
85,9,2011,"Divulgação da atividade parlamentar.","",1000
86,9,2011,"Fornecimento de alimentação do parlamentar","",1104.61
87,9,2011,"Locação de veículos automotores ou fretamento de embarcações","",16969.24
88,9,2011,"Manutenção de escritório de apoio à atividade parlamentar","",373.58
89,9,2011,"Serviços Postais","",2105.36
90,9,2011,Telefonia,"",3984
91,10,2011,"Assinatura de publicações","",32
92,10,2011,"Combustíveis e lubrificantes.","",17406.89
93,10,2011,"Consultorias, pesquisas e trabalhos técnicos.","",19000
94,10,2011,"Divulgação da atividade parlamentar.","",55620
95,10,2011,"Emissão Bilhete Aéreo *","",1903.9
96,10,2011,"Fornecimento de alimentação do parlamentar","",3228.66
97,10,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",511
98,10,2011,"Manutenção de escritório de apoio à atividade parlamentar","",32450.69
99,10,2011,"Passagens Aéreas e fretamento de aeronaves","",2733.89
100,10,2011,"Serviços Postais","",4036.41
101,10,2011,Telefonia,"",15664.97
102,11,2011,"Assinatura de publicações","",57.9
103,11,2011,"Combustíveis e lubrificantes.","",2470.62
104,11,2011,"Emissão Bilhete Aéreo *","",2219.17
105,11,2011,"Locação de veículos automotores ou fretamento de embarcações","",5451
106,11,2011,"Manutenção de escritório de apoio à atividade parlamentar","",21545.69
107,11,2011,"Passagens Aéreas e fretamento de aeronaves","",482.06
108,11,2011,"Serviços Postais","",809.08
109,11,2011,Telefonia,"",10116.22
110,12,2011,"Combustíveis e lubrificantes.","",19928.25
111,12,2011,"Consultorias, pesquisas e trabalhos técnicos.","",25822.4
112,12,2011,"Divulgação da atividade parlamentar.","",6637.2
113,12,2011,"Emissão Bilhete Aéreo *","",3888.81
114,12,2011,"Fornecimento de alimentação do parlamentar","",167
115,12,2011,"Locação de veículos automotores ou fretamento de embarcações","",876.97
116,12,2011,"Manutenção de escritório de apoio à atividade parlamentar","",10664.34
117,12,2011,"Passagens Aéreas e fretamento de aeronaves","",546.52
118,12,2011,"Serviços Postais","",5610.86
119,12,2011,Telefonia,"",25328.83
120,13,2011,"Combustíveis e lubrificantes.","",4512.89
121,13,2011,"Emissão Bilhete Aéreo *","",2474.24
122,13,2011,"Fornecimento de alimentação do parlamentar","",1694.88
123,13,2011,"Locação de veículos automotores ou fretamento de embarcações","",104
124,13,2011,"Manutenção de escritório de apoio à atividade parlamentar","",10334
125,13,2011,"Passagens Aéreas e fretamento de aeronaves","",822.22
126,13,2011,"Serviços Postais","",386.9
127,13,2011,Telefonia,"",2201.92
128,14,2011,"Assinatura de publicações","",574.6
129,14,2011,"Combustíveis e lubrificantes.","",12343.81
130,14,2011,"Consultorias, pesquisas e trabalhos técnicos.","",25687
131,14,2011,"Fornecimento de alimentação do parlamentar","",2879.05
132,14,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",2426.39
133,14,2011,"Locação de veículos automotores ou fretamento de embarcações","",2824.03
134,14,2011,"Manutenção de escritório de apoio à atividade parlamentar","",8050.82
135,14,2011,"Passagens Aéreas e fretamento de aeronaves","",589.61
136,14,2011,"Serviços Postais","",324.5
137,14,2011,Telefonia,"",2006.3
138,15,2011,"Combustíveis e lubrificantes.","",5590
139,15,2011,"Divulgação da atividade parlamentar.","",25850
140,15,2011,"Emissão Bilhete Aéreo *","",1623.06
141,15,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",907.95
142,15,2011,"Locação de veículos automotores ou fretamento de embarcações","",6600
143,15,2011,"Serviços Postais","",3360.11
144,15,2011,Telefonia,"",20649.23
145,16,2011,"Combustíveis e lubrificantes.","",14720.38
146,16,2011,"Consultorias, pesquisas e trabalhos técnicos.","",14000
147,16,2011,"Divulgação da atividade parlamentar.","",5000
148,16,2011,"Emissão Bilhete Aéreo *","",7026.75
149,16,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",6664.72
150,16,2011,"Locação de veículos automotores ou fretamento de embarcações","",16882
151,16,2011,"Manutenção de escritório de apoio à atividade parlamentar","",381.9
152,16,2011,"Serviços Postais","",13026
153,16,2011,Telefonia,"",18088.05
154,17,2011,"Combustíveis e lubrificantes.","",9243.03
155,17,2011,"Consultorias, pesquisas e trabalhos técnicos.","",13000
156,17,2011,"Divulgação da atividade parlamentar.","",33848.27
157,17,2011,"Emissão Bilhete Aéreo *","",1704.12
158,17,2011,"Fornecimento de alimentação do parlamentar","",4646.42
159,17,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",2744.61
160,17,2011,"Locação de veículos automotores ou fretamento de embarcações","",3992.91
161,17,2011,"Manutenção de escritório de apoio à atividade parlamentar","",1160
162,17,2011,"Passagens Aéreas e fretamento de aeronaves","",718.62
163,17,2011,"Serviços Postais","",281.65
164,17,2011,Telefonia,"",5797.69
165,18,2011,"Assinatura de publicações","",10
166,18,2011,"Combustíveis e lubrificantes.","",14449.78
167,18,2011,"Emissão Bilhete Aéreo *","",2472.27
168,18,2011,"Fornecimento de alimentação do parlamentar","",179.32
169,18,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",262.5
170,18,2011,"Locação de veículos automotores ou fretamento de embarcações","",22827.67
171,18,2011,"Manutenção de escritório de apoio à atividade parlamentar","",20360.14
172,18,2011,"Serviços Postais","",1396.34
173,18,2011,Telefonia,"",15806.06
174,19,2011,"Assinatura de publicações","",70
175,19,2011,"Combustíveis e lubrificantes.","",14430.19
176,19,2011,"Consultorias, pesquisas e trabalhos técnicos.","",26150
177,19,2011,"Divulgação da atividade parlamentar.","",15600
178,19,2011,"Emissão Bilhete Aéreo *","",11054.68
179,19,2011,"Hospedagem ,exceto do parlamentar no Distrito Federal.","",4220.98
180,19,2011,"Locação de veículos automotores ou fretamento de embarcações","",9416
181,19,2011,"Manutenção de escritório de apoio à atividade parlamentar","",20572.71
182,19,2011,"Serviço de segurança prestado por empresa especializada.","",4400
183,19,2011,"Serviços Postais","",5088.43
184,19,2011,Telefonia,"",37689.29
185,20,2011,"Assinatura de publicações","",820
186,20,2011,"Combustíveis e lubrificantes.","",9000
187,20,2011,"Divulgação da atividade parlamentar.","",34900
188,20,2011,"Emissão Bilhete Aéreo *","",6523.64
189,20,2011,"Fornecimento de alimentação do parlamentar","",802.03
190,20,2011,"Locação de veículos automotores ou fretamento de embarcações","",11550
191,20,2011,"Manutenção de escritório de apoio à atividade parlamentar","",2153.42
192,20,2011,"Serviços Postais","",104.32
193,20,2011,Telefonia,"",8639.18
194,21,2011,"Combustíveis e lubrificantes.","",13958.14
